,weights,corr
weight_1,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_2,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.25)}",
weight_3,"{'prop_pos': np.float64(0.14999999999999988), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_4,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_5,"{'prop_pos': np.float64(0.15), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.25)}",
weight_6,"{'prop_pos': np.float64(0.09999999999999998), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.25)}",
weight_7,"{'prop_pos': np.float64(0.14999999999999997), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_8,"{'prop_pos': np.float64(0.09999999999999995), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_9,"{'prop_pos': np.float64(0.04999999999999993), '_1m_mom': np.float64(0.05), '_3m_mom': np.float64(0.1), '_6m_mom': np.float64(0.1), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_10,"{'prop_pos': np.float64(0.14999999999999986), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_11,"{'prop_pos': np.float64(0.09999999999999984), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",
weight_12,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.15)}",
weight_13,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_14,"{'prop_pos': np.float64(0.09999999999999991), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",
weight_15,"{'prop_pos': np.float64(0.049999999999999906), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.2)}",
weight_16,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",
weight_17,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.25)}",
weight_18,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_19,"{'prop_pos': np.float64(0.1499999999999998), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_20,"{'prop_pos': np.float64(0.0999999999999998), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_21,"{'prop_pos': np.float64(0.049999999999999795), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",
weight_22,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_23,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",
weight_24,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",
weight_25,"{'prop_pos': np.float64(0.09999999999999976), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_26,"{'prop_pos': np.float64(0.04999999999999975), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_27,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
