,ASX code
0,CBA.AX
1,BHP.AX
2,NEM.AX
3,WBC.AX
4,NAB.AX
5,ANZ.AX
6,MQG.AX
7,WES.AX
8,RIO.AX
9,WDS.AX
10,FMG.AX
11,GMG.AX
12,TLS.AX
13,CSL.AX
14,XYZ.AX
15,TCL.AX
16,RMD.AX
17,WOW.AX
18,SIG.AX
19,QBE.AX
20,BXB.AX
21,NST.AX
22,COL.AX
23,ALL.AX
24,STO.AX
25,EVN.AX
26,AMC.AX
27,REA.AX
28,AAI.AX
29,NWS.AX
30,NWSLV.AX
31,ORG.AX
32,SCG.AX
33,PLS.AX
34,LYC.AX
35,SUN.AX
36,S32.AX
37,CPU.AX
38,IAG.AX
39,FPH.AX
40,SGH.AX
41,JHX.AX
42,SOL.AX
43,WTC.AX
44,XRO.AX
45,PME.AX
46,APA.AX
47,MIN.AX
48,BSL.AX
49,MPL.AX
50,QAN.AX
51,MEZ.AX
52,TLC.AX
53,ASX.AX
54,VCX.AX
55,AIA.AX
56,NXG.AX
57,ALQ.AX
58,DPM.AX
59,CSC.AX
60,IFT.AX
61,SGP.AX
62,NXT.AX
63,CAR.AX
64,YAL.AX
65,ORI.AX
66,SHL.AX
67,CHC.AX
68,GPT.AX
69,TNE.AX
70,LNW.AX
71,GGP.AX
72,CEN.AX
73,QUB.AX
74,RHC.AX
75,JBH.AX
76,ALD.AX
77,TPG.AX
78,REH.AX
79,AFI.AX
80,MCY.AX
81,AII.AX
82,SFR.AX
83,LTR.AX
84,PRU.AX
85,AZJ.AX
86,WHC.AX
87,ALX.AX
88,MGR.AX
89,APE.AX
90,GMD.AX
91,ARG.AX
92,HUB.AX
93,DXS.AX
94,COH.AX
95,RMS.AX
96,AGL.AX
97,BEN.AX
98,CGF.AX
99,CMM.AX
100,EDV.AX
101,WOR.AX
102,IGO.AX
103,DNL.AX
104,NWL.AX
105,HVN.AX
106,PDN.AX
107,TLX.AX
108,RRL.AX
109,360.AX
110,DOW.AX
111,WGX.AX
112,SEK.AX
113,CWY.AX
114,GQG.AX
115,A2M.AX
116,VNT.AX
117,VAU.AX
118,SDF.AX
119,ATM.AX
120,NHC.AX
121,NIC.AX
122,PDI.AX
123,BOQ.AX
124,BRG.AX
125,VEA.AX
126,SGM.AX
127,BFL.AX
128,PNI.AX
129,EMR.AX
130,AMP.AX
131,ANN.AX
132,EBO.AX
133,CNU.AX
134,ILU.AX
135,DRO.AX
136,TWE.AX
137,WAF.AX
138,AUB.AX
139,NHF.AX
140,TUA.AX
141,SPK.AX
142,ZIP.AX
143,MTS.AX
144,NWH.AX
145,L1G.AX
146,MND.AX
147,BWP.AX
148,MSB.AX
149,MFF.AX
150,CIA.AX
151,DBI.AX
152,RGN.AX
153,HDN.AX
154,LSF.AX
155,BPT.AX
156,SUL.AX
157,GNE.AX
158,TAH.AX
159,RSG.AX
160,FBU.AX
161,SX2.AX
162,CLW.AX
163,LOV.AX
164,OBM.AX
165,4DX.AX
166,RWC.AX
167,MXT.AX
168,AUI.AX
169,BGL.AX
170,CQR.AX
171,PXA.AX
172,DRR.AX
173,LLC.AX
174,IMD.AX
175,FLT.AX
176,ELV.AX
177,SMR.AX
178,ALK.AX
179,WAM.AX
180,EOS.AX
181,PPT.AX
182,EVT.AX
183,PMV.AX
184,REG.AX
185,CIP.AX
186,CBO.AX
187,ASK.AX
188,SRL.AX
189,SRG.AX
190,RYM.AX
191,GYG.AX
192,MI6.AX
193,MAQ.AX
194,WLE.AX
195,VGN.AX
196,FRW.AX
197,MFG.AX
198,SLC.AX
199,GLF.AX
200,DYL.AX
201,PRN.AX
202,VUL.AX
203,DVP.AX
204,GNP.AX
205,ASB.AX
206,ZIM.AX
207,RDX.AX
208,DDR.AX
209,ORA.AX
210,GOZ.AX
211,KCN.AX
212,WPR.AX
213,INA.AX
214,ERA.AX
215,MAH.AX
216,SLX.AX
217,MP1.AX
218,BGA.AX
219,ARU.AX
220,MGH.AX
221,SNZ.AX
222,JDO.AX
223,IPX.AX
224,NEU.AX
225,MAD.AX
226,ABB.AX
227,ELS.AX
228,ELD.AX
229,KAR.AX
230,ARB.AX
231,DMP.AX
232,CNI.AX
233,NEC.AX
234,GDG.AX
235,TEA.AX
236,TBN.AX
237,BKI.AX
238,PGF.AX
239,HLI.AX
240,EQR.AX
241,SNL.AX
242,GNC.AX
243,LIN.AX
244,SIQ.AX
245,MAF.AX
246,BRE.AX
247,ORE.AX
248,FFM.AX
249,ARF.AX
250,CYL.AX
251,DGT.AX
252,GCI.AX
253,NGI.AX
254,SSM.AX
255,UOS.AX
256,IRE.AX
257,MLX.AX
258,PNR.AX
259,NCK.AX
260,DTL.AX
261,PMT.AX
262,MMS.AX
263,PYC.AX
264,WA1.AX
265,OCL.AX
266,AIZ.AX
267,CU6.AX
268,BCI.AX
269,APZ.AX
270,CMW.AX
271,HMC.AX
272,KLS.AX
273,PL8.AX
274,GLS.AX
275,CHI.AX
276,RIC.AX
277,FCL.AX
278,CAT.AX
279,MC2.AX
280,SXE.AX
281,BVS.AX
282,WBT.AX
283,LFG.AX
284,QRI.AX
285,HSN.AX
286,LGF.AX
287,WEB.AX
288,NAN.AX
289,IPH.AX
290,CQE.AX
291,LFS.AX
292,CKF.AX
293,NUF.AX
294,WGN.AX
295,CCL.AX
296,ABG.AX
297,CXO.AX
298,RPL.AX
299,BGP.AX
