,weights,corr
weight_35,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.30000000000000004)}",0.028491052912902756
weight_18,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.30000000000000004)}",0.027207843165749403
weight_17,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.25)}",0.026413373311534857
weight_34,"{'prop_pos': np.float64(0.04999999999999993), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",0.025937251051422906
weight_15,"{'prop_pos': np.float64(0.049999999999999906), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.2)}",0.02536052164129775
weight_39,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",0.02532571808032368
weight_33,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",0.024968548766010446
weight_16,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",0.02448271367644175
weight_12,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.15000000000000002), 'ma_trend_strength': np.float64(0.15)}",0.02400802672320352
weight_24,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",0.023985852239769363
weight_31,"{'prop_pos': np.float64(0.049999999999999906), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",0.023724212460499917
weight_14,"{'prop_pos': np.float64(0.09999999999999991), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",0.023456335218432135
weight_32,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",0.023034633807939034
weight_23,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",0.0229317087789502
weight_38,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",0.02252456951278149
weight_11,"{'prop_pos': np.float64(0.09999999999999984), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",0.022156180278481135
weight_30,"{'prop_pos': np.float64(0.09999999999999991), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",0.021826454450716393
weight_21,"{'prop_pos': np.float64(0.049999999999999795), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",0.02159690897567787
weight_13,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",0.021425855708136873
weight_37,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",0.021283973941436392
weight_22,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",0.021010166256983872
weight_27,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",0.02032166698448255
weight_10,"{'prop_pos': np.float64(0.14999999999999986), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",0.020152371846402565
weight_29,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.0198116156518959
weight_20,"{'prop_pos': np.float64(0.0999999999999998), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",0.0197045750913492
weight_36,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.019370216339557544
weight_26,"{'prop_pos': np.float64(0.04999999999999975), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",0.01897279844986733
weight_40,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.018666593667374193
weight_41,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.017710020696112872
weight_19,"{'prop_pos': np.float64(0.1499999999999998), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.017704011251813492
weight_25,"{'prop_pos': np.float64(0.09999999999999976), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",0.01708578417746202
